record_key	sources	pmid	doi	title	decision	primary_reason	full_text_or_code_assessed	freeze_date
doi:10.1158/1538-7445.am2024-lb092	Semantic_Scholar_top100		10.1158/1538-7445.am2024-lb092	Abstract LB092: Novel tumor gene expression signatures predictive of outcome in large B cell lymphoma treated with CAR T cell therapy (axicabtagene ciloleucel)	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1158/1538-7445.am2025-5135	Semantic_Scholar_top100		10.1158/1538-7445.am2025-5135	Abstract 5135: Effect of EZH2 inhibition in anaplastic thyroid cancer epithelial-mesenchymal transition revealed by transcriptome analysis	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
doi:10.1158/1538-7445.am2025-5578	Semantic_Scholar_top100		10.1158/1538-7445.am2025-5578	Abstract 5578: Role of differentiation driver gene HOXD4 in anaplastic thyroid cancer	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1158/1538-7445.fcs2025-p48	citation_snowball		10.1158/1538-7445.fcs2025-p48	Abstract P48: MULTIMODAL DATA INTEGRATION FOR A PAN-CANCER ASIAN COHORT OF EXCEPTIONAL RESPONDERS AND HYPER-PROGRESSORS TO IMMUNOTHERAPY HIGHLIGHTS UTILITY OF BIOMARKERS	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1158/1538-7445.panca2023-pr08	Semantic_Scholar_top100		10.1158/1538-7445.panca2023-pr08	Abstract PR08: Spatial mapping of transcriptomic and lineage diversity in metastatic pancreatic cancer	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1177/10668969261457939	citation_snowball		10.1177/10668969261457939	A Stomach Neuroendocrine Carcinoma With CCNE1 Amplification: A Case Report and Brief Review of Literature.	exclude	review_or_secondary_source	no	2026-07-12
doi:10.1182/blood-2025-3482	Semantic_Scholar_top100		10.1182/blood-2025-3482	A baseline transcriptomic signature predictive of clinical response to menin inhibitors in AML : The PRE-men retrosprospective Study	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1186/s12885-018-5243-3	Semantic_Scholar_top100		10.1186/s12885-018-5243-3	Prognostic signature associated with radioresistance in head and neck cancer via transcriptomic and bioinformatic analyses	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1186/s12885-026-16329-z	citation_snowball		10.1186/s12885-026-16329-z	Bioinformatics mining and clinical validation of CD274 as a prognostic indicator in hepatocellular carcinoma.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1186/s12885-026-16397-1	citation_snowball		10.1186/s12885-026-16397-1	Integrated multi-omics analysis reveals folate metabolism-related genes as prognostic markers and therapeutic targets in clear cell renal cell carcinoma.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1186/s12885-026-16406-3	citation_snowball		10.1186/s12885-026-16406-3	Recurrence-free survival is prolonged in high-grade serous ovarian cancer with high PD-L1 expression.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1186/s12902-026-02306-x	citation_snowball		10.1186/s12902-026-02306-x	Interplay of BRAF and TERT promoter mutations and Ki67 proliferation index in papillary thyroid carcinoma in Central Asians.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1186/s12935-026-04365-5	citation_snowball		10.1186/s12935-026-04365-5	APLP2 as a molecular link between immune regulation and bone metabolism in hepatocellular carcinoma: evidence from scRNA-seq and functional validation.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1186/s13044-026-00306-6	citation_snowball		10.1186/s13044-026-00306-6	Single-cell RNA sequencing in thyroid cancer: a methodological review and thyroid specific dissociation protocol.	exclude	review_or_secondary_source	no	2026-07-12
doi:10.1186/s13046-020-01757-x	Semantic_Scholar_top100		10.1186/s13046-020-01757-x	The molecular and gene/miRNA expression profiles of radioiodine resistant papillary thyroid cancer	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
doi:10.1186/s13073-026-01706-x	citation_snowball		10.1186/s13073-026-01706-x	Multi-modal data integration reveals functionally credible predictive biomarkers in ovarian cancer.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1200/jco.2024.42.3_suppl.129	Semantic_Scholar_top100		10.1200/jco.2024.42.3_suppl.129	A first-in-human, open-label, phase I trial of daily oral zelenirstat, an NMT inhibitor, in patients with relapsed/refractory advanced cancer including gastrointestinal cancers.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1200/jco.2025.43.16_suppl.3135	Semantic_Scholar_top100		10.1200/jco.2025.43.16_suppl.3135	Regorafenib response prediction in metastatic colorectal cancer by a novel genomic and transcriptomic model.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1200/jco.2026.44.16_suppl.10016	citation_snowball		10.1200/jco.2026.44.16_suppl.10016	Characterization and validation of a methylation signature as a prognostic marker in osteosarcoma.	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.1200/jco.2026.44.16_suppl.3121	citation_snowball		10.1200/jco.2026.44.16_suppl.3121	Identification of high-grade neuroendocrine carcinoma (HGNEC) biology across tumor types through transcriptomic profiling and validation in lung cancer.	exclude	no_relevant_radioiodine_construct	no	2026-07-12
