pmid	doi	year	title	screening_stage	decision	primary_reason	full_text_assessed	freeze_date
41660935	10.31557/APJCP.2026.27.2.757	2026	Prognostic Stratification of Highly Differentiated Thyroid Cancer Based on Molecular Genetic Studies.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41296188	10.1007/s11154-025-10008-3	2026	Retroelements in thyroid cancer: epigenetic plasticity, dedifferentiation, and therapeutic opportunities.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41695167	10.3389/fmed.2026.1737911	2026	Case Report: Management of a challenging case presenting with dysphagia after thyroidectomy requiring administration of liquid 131I via MIC-KEY low-profile tube-a multidisciplinary approach.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41685247	10.3389/fendo.2026.1737469	2026	Leveraging the transcriptome-phenotype relationship to guide clinical management of papillary thyroid cancer.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41532572	10.1530/JME-25-0135	2026	Linoleic acid reduces sodium-iodide symporter by inhibiting endoplasmic reticulum stress in papillary thyroid carcinoma.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41483448	10.1007/s12672-025-04317-x	2026	Exploring molecular mechanisms of radioactive iodine therapy in thyroid cancer using single-cell RNA sequencing data.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41467912	10.1177/10507256251409134	2026	Thyroglobulin Cutoffs after Total Thyroidectomy Without Radioiodine in Low- to Intermediate-Risk Thyroid Cancer: A Multicenter Cohort Study.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41391992	10.1053/j.semnuclmed.2025.11.014	2026	Response assessment in advanced differentiated thyroid cancer.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41058325	10.1016/j.surg.2025.109698	2026	Validation of molecular profiling to preoperatively predict aggressive pathologic features in differentiated thyroid cancer.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
40857765	10.1016/j.talanta.2025.128721	2026	Non-radiative quantitation of NIS-dependent iodine accumulation in cells using single-cell inductively coupled plasma mass spectrometry.	title_abstract	exclude	non_human_or_preclinical_only	no	2026-07-12
33760495		2026	Oncocytic (Hürthle Cell) Thyroid Carcinoma	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41595456	10.3390/genes17010036	2025	Review of Genomic Drivers of Thyroid Cancer and Their Clinical Implications.	title_abstract	exclude	review_or_secondary_source	no	2026-07-12
41368991	10.1530/ETJ-25-0225	2025	BRAF V600E in thyroid cancer: navigating prognostic uncertainty and therapeutic opportunity.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
41353405	10.1038/s41598-025-31110-1	2025	Comparative survival outcomes of lobectomy versus total thyroidectomy in T1 and T2 papillary thyroid cancer with more than five positive lymph nodes.	title_abstract	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
41462994	10.3390/biomedicines13122982	2025	Dedifferentiation and Redifferentiation of Follicular-Cell-Derived Thyroid Carcinoma: Mechanisms and Therapeutic Implications.	title_abstract	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
